judgeTitle,judgeEmail
HIS_HONOUR_JUDGE,leadership-midlands@ejudiciary.net
HIS_HONOUR_JUDGE,4910825EMP-@ejudiciary.net
HIS_HONOUR_JUDGE,4916244EMP-@ejudiciary.net
HER_HONOUR_JUDGE,4916382EMP-@ejudiciary.net
HIS_HONOUR_JUDGE,4918371EMP-@ejudiciary.net
HIS_HONOUR_JUDGE,4919331EMP-@ejudiciary.net
HIS_HONOUR_JUDGE,4921600EMP-@ejudiciary.net
HER_HONOUR_JUDGE,4921946EMP-@ejudiciary.net
HER_HONOUR_JUDGE,4923492EMP-@ejudiciary.net
HIS_HONOUR_JUDGE,4924033EMP-@ejudiciary.net
HER_HONOUR_JUDGE,4924221EMP-@ejudiciary.net
HIS_HONOUR_JUDGE,4924246EMP-@ejudiciary.net
HIS_HONOUR_JUDGE,4925137EMP-@ejudiciary.net
HIS_HONOUR_JUDGE,4925150EMP-@ejudiciary.net
HER_HONOUR_JUDGE,4925182EMP-@ejudiciary.net
HIS_HONOUR_JUDGE,4925328EMP-@ejudiciary.net
HIS_HONOUR_JUDGE,4925359EMP-@ejudiciary.net
HER_HONOUR_JUDGE,4925421EMP-@ejudiciary.net
HER_HONOUR_JUDGE,4925598EMP-@ejudiciary.net
HER_HONOUR_JUDGE,4925732EMP-@ejudiciary.net
HER_HONOUR_JUDGE,4927749EMP-@ejudiciary.net
HIS_HONOUR_JUDGE,EMP46938@ejudiciary.net
HIS_HONOUR_JUDGE,f.jerry@ejudiciary.net
HIS_HONOUR_JUDGE,fee-paid-south-east@ejudiciary.net
HIS_HONOUR_JUDGE,j.ambrose@ejudiciary.net
HER_HONOUR_JUDGE,j.sandy@ejudiciary.net
HIS_HONOUR_JUDGE,judge-london@ejudiciary.net
HER_HONOUR_JUDGE,judge-wales@ejudiciary.net
HIS_HONOUR_JUDGE,leadership-london@ejudiciary.net
HIS_HONOUR_JUDGE,leadership-midlands@ejudiciary.net
HIS_HONOUR_JUDGE,legal-caseworker-north-east@ejudiciary.net
HER_HONOUR_JUDGE,m.johnson@ejudiciary.net
LEGAL_ADVISOR,perfsupervisorcw_001@justice.gov.uk
LEGAL_ADVISOR,perfsupervisorcw_002@justice.gov.uk
LEGAL_ADVISOR,perfsupervisorfpl_001@justice.gov.uk
LEGAL_ADVISOR,prl_legal_ops@justice.gov.uk
