orgname,orgref,superuser,user,password
pforgdiv-031u9,XAX0MN3,pforgdiv-031u9-su@mailtest.gov.uk,pforgdiv-031u9-user0@mailinator.com,Pass19word
pforgdiv-02bu5,UFMCNVI,pforgdiv-02bu5-su@mailtest.gov.uk,pforgdiv-02bu5-user0@mailinator.com,Pass19word
pforgdiv-08mk1,R7N346C,pforgdiv-08mk1-su@mailtest.gov.uk,pforgdiv-08mk1-user0@mailinator.com,Pass19word
pforgdiv-0joz8,QFNB888,pforgdiv-0joz8-su@mailtest.gov.uk,pforgdiv-0joz8-user0@mailinator.com,Pass19word
pforgdiv-0nmqq,HSUP9KB,pforgdiv-0nmqq-su@mailtest.gov.uk,pforgdiv-0nmqq-user0@mailinator.com,Pass19word
pforgdiv-0u6rb,RZPULVM,pforgdiv-0u6rb-su@mailtest.gov.uk,pforgdiv-0u6rb-user0@mailinator.com,Pass19word
pforgdiv-109s5,G0XP0GZ,pforgdiv-109s5-su@mailtest.gov.uk,pforgdiv-109s5-user0@mailinator.com,Pass19word
pforgdiv-15znc,XTAQQ97,pforgdiv-15znc-su@mailtest.gov.uk,pforgdiv-15znc-user0@mailinator.com,Pass19word
pforgdiv-18haj,MV9NUK0,pforgdiv-18haj-su@mailtest.gov.uk,pforgdiv-18haj-user0@mailinator.com,Pass19word
pforgdiv-1hgkl,B1LI9UK,pforgdiv-1hgkl-su@mailtest.gov.uk,pforgdiv-1hgkl-user0@mailinator.com,Pass19word
pforgdiv-1j9j7,FDCH0VD,pforgdiv-1j9j7-su@mailtest.gov.uk,pforgdiv-1j9j7-user0@mailinator.com,Pass19word
pforgdiv-1lfoc,3OPQZVD,pforgdiv-1lfoc-su@mailtest.gov.uk,pforgdiv-1lfoc-user0@mailinator.com,Pass19word
pforgdiv-1n1lc,SG64OUZ,pforgdiv-1n1lc-su@mailtest.gov.uk,pforgdiv-1n1lc-user0@mailinator.com,Pass19word
pforgdiv-1utri,I08PJ7V,pforgdiv-1utri-su@mailtest.gov.uk,pforgdiv-1utri-user0@mailinator.com,Pass19word
pforgdiv-1v8ix,HEKAI1G,pforgdiv-1v8ix-su@mailtest.gov.uk,pforgdiv-1v8ix-user0@mailinator.com,Pass19word
pforgdiv-1wba9,561IA8M,pforgdiv-1wba9-su@mailtest.gov.uk,pforgdiv-1wba9-user0@mailinator.com,Pass19word
pforgdiv-21ffj,2KQTSXC,pforgdiv-21ffj-su@mailtest.gov.uk,pforgdiv-21ffj-user0@mailinator.com,Pass19word
pforgdiv-25a4i,UK3VKK2,pforgdiv-25a4i-su@mailtest.gov.uk,pforgdiv-25a4i-user0@mailinator.com,Pass19word
pforgdiv-26qm3,1WXWHK6,pforgdiv-26qm3-su@mailtest.gov.uk,pforgdiv-26qm3-user0@mailinator.com,Pass19word
pforgdiv-2zteu,LZBOBJ9,pforgdiv-2zteu-su@mailtest.gov.uk,pforgdiv-2zteu-user0@mailinator.com,Pass19word
pforgdiv-3al3u,P2XOZRR,pforgdiv-3al3u-su@mailtest.gov.uk,pforgdiv-3al3u-user0@mailinator.com,Pass19word
pforgdiv-413xb,X931B9Y,pforgdiv-413xb-su@mailtest.gov.uk,pforgdiv-413xb-user0@mailinator.com,Pass19word
pforgdiv-4ayif,B0JISSJ,pforgdiv-4ayif-su@mailtest.gov.uk,pforgdiv-4ayif-user0@mailinator.com,Pass19word
pforgdiv-4t7mx,YBL26V0,pforgdiv-4t7mx-su@mailtest.gov.uk,pforgdiv-4t7mx-user0@mailinator.com,Pass19word
pforgdiv-4vcr6,5GA3XTE,pforgdiv-4vcr6-su@mailtest.gov.uk,pforgdiv-4vcr6-user0@mailinator.com,Pass19word
pforgdiv-51dea,N6OD48M,pforgdiv-51dea-su@mailtest.gov.uk,pforgdiv-51dea-user0@mailinator.com,Pass19word
pforgdiv-5au7h,B6KZV9R,pforgdiv-5au7h-su@mailtest.gov.uk,pforgdiv-5au7h-user0@mailinator.com,Pass19word
