user,password,type,caseId,docId
PED-SSCS-User1@justice.gov.uk,Password12,Presenter,1707913726731365,ba4101b9-689d-4dd7-a1f6-458a9505df18
PED-SSCS-User2@justice.gov.uk,Password12,Follower,1707913726731365,ba4101b9-689d-4dd7-a1f6-458a9505df18
PED-SSCS-User3@justice.gov.uk,Password12,Follower,1707913726731365,ba4101b9-689d-4dd7-a1f6-458a9505df18
PED-SSCS-User4@justice.gov.uk,Password12,Follower,1707913726731365,ba4101b9-689d-4dd7-a1f6-458a9505df18
PED-SSCS-User5@justice.gov.uk,Password12,Follower,1707913726731365,ba4101b9-689d-4dd7-a1f6-458a9505df18
PED-SSCS-User6@justice.gov.uk,Password12,Follower,1707913726731365,ba4101b9-689d-4dd7-a1f6-458a9505df18
PED-SSCS-User7@justice.gov.uk,Password12,Follower,1707913726731365,ba4101b9-689d-4dd7-a1f6-458a9505df18
PED-SSCS-User8@justice.gov.uk,Password12,Follower,1707913726731365,ba4101b9-689d-4dd7-a1f6-458a9505df18
PED-SSCS-User9@justice.gov.uk,Password12,Presenter,1707915252665388,4c878f81-18b7-45ac-80e3-0fa1a66de04b
PED-SSCS-User10@justice.gov.uk,Password12,Follower,1707915252665388,4c878f81-18b7-45ac-80e3-0fa1a66de04b
PED-SSCS-User11@justice.gov.uk,Password12,Follower,1707915252665388,4c878f81-18b7-45ac-80e3-0fa1a66de04b
PED-SSCS-User12@justice.gov.uk,Password12,Follower,1707915252665388,4c878f81-18b7-45ac-80e3-0fa1a66de04b
PED-SSCS-User13@justice.gov.uk,Password12,Follower,1707915252665388,4c878f81-18b7-45ac-80e3-0fa1a66de04b
PED-SSCS-User14@justice.gov.uk,Password12,Follower,1707915252665388,4c878f81-18b7-45ac-80e3-0fa1a66de04b
PED-SSCS-User15@justice.gov.uk,Password12,Follower,1707915252665388,4c878f81-18b7-45ac-80e3-0fa1a66de04b
PED-SSCS-User16@justice.gov.uk,Password12,Follower,1707915252665388,4c878f81-18b7-45ac-80e3-0fa1a66de04b
PED-SSCS-User17@justice.gov.uk,Password12,Presenter,1707915425404954,0bfe5934-21e9-404b-b3d6-05852c03d546
