orgname,orgref,superuser,user,password
fplorg-2dddl,DFV84Q8,fplorg-2dddl_superuser@mailinator.com,fpluser141@mailinator.com,Pass19word
fplorg-2dddl,DFV84Q8,fplorg-2dddl_superuser@mailinator.com,fpluser221@mailinator.com,Pass19word
fplorg-2dja0,70XTRFU,fplorg-2dja0_superuser@mailinator.com,fpluser379@mailinator.com,Pass19word
fplorg-2mcy3,8E4UF6G,fplorg-2mcy3_superuser@mailinator.com,fpluser18@mailinator.com,Pass19word
fplorg-2o0e1,SYKCI62,fplorg-2o0e1_superuser@mailinator.com,fpluser16@mailinator.com,Pass19word
fplorg-2vunm,GU8DJC0,fplorg-2vunm_superuser@mailinator.com,fpluser376@mailinator.com,Pass19word
fplorg-335h5,VW5QJD1,fplorg-335h5_superuser@mailinator.com,fpluser138@mailinator.com,Pass19word
fplorg-3epel,KKIN7HV,fplorg-3epel_superuser@mailinator.com,fplorg-3epel_user1@mailinator.com,Pass19word
fplorg-3frxx,MXXU8KQ,fplorg-3frxx_superuser@mailinator.com,fpluser15@mailinator.com,Pass19word
fplorg-3ri1y,IS54NM9,fplorg-3ri1y_superuser@mailinator.com,fpluser262@mailinator.com,Pass19word
fplorg-4t5bo,RK4YQ24,fplorg-4t5bo_superuser@mailinator.com,fpluser11@mailinator.com,Pass19word
fplorg-6j569,2AWF3XF,fplorg-6j569_superuser@mailinator.com,fpluser133@mailinator.com,Pass19word
fplorg-7ngf3,T8QXVL8,fplorg-7ngf3_superuser@mailinator.com,fpluser261@mailinator.com,Pass19word
fplorg-8ez2d,PTSW1TU,fplorg-8ez2d_superuser@mailinator.com,fpluser374@mailinator.com,Pass19word
fplorg-8yxgi,QI1NIIY,fplorg-8yxgi_superuser@mailinator.com,fpluser253@mailinator.com,Pass19word
fplorg-ashla,8921DOD,fplorg-ashla_superuser@mailinator.com,fpluser139@mailinator.com,Pass19word
fplorg-avvdz,5GIJ46T,fplorg-avvdz_superuser@mailinator.com,fpluser132@mailinator.com,Pass19word
fplorg-byz3y,4IT2ATL,fplorg-byz3y_superuser@mailinator.com,fpluser259@mailinator.com,Pass19word
fplorg-ea5q8,06IKESF,fplorg-ea5q8_superuser@mailinator.com,fpluser378@mailinator.com,Pass19word
fplorg-eqvnd,DKD6KLC,fplorg-eqvnd_superuser@mailinator.com,fpluser260@mailinator.com,Pass19word
