user,password,type,caseId,docId
PED-SSCS-User1@justice.gov.uk,Password12,Presenter,1712674566646674,7e488855-9fb5-4ee0-9545-5f9b5714a167
PED-SSCS-User2@justice.gov.uk,Password12,Follower,1712674566646674,7e488855-9fb5-4ee0-9545-5f9b5714a167
PED-SSCS-User3@justice.gov.uk,Password12,Follower,1712674566646674,7e488855-9fb5-4ee0-9545-5f9b5714a167
PED-SSCS-User4@justice.gov.uk,Password12,Follower,1712674566646674,7e488855-9fb5-4ee0-9545-5f9b5714a167
PED-SSCS-User5@justice.gov.uk,Password12,Follower,1712674566646674,7e488855-9fb5-4ee0-9545-5f9b5714a167
PED-SSCS-User6@justice.gov.uk,Password12,Follower,1712674566646674,7e488855-9fb5-4ee0-9545-5f9b5714a167
PED-SSCS-User7@justice.gov.uk,Password12,Follower,1712674566646674,7e488855-9fb5-4ee0-9545-5f9b5714a167
PED-SSCS-User8@justice.gov.uk,Password12,Follower,1712674566646674,7e488855-9fb5-4ee0-9545-5f9b5714a167
PED-SSCS-User9@justice.gov.uk,Password12,Presenter,1711566568949901,fada1ad8-76fd-4081-b572-a5b18b5fc9b4
PED-SSCS-User10@justice.gov.uk,Password12,Follower,1711566568949901,fada1ad8-76fd-4081-b572-a5b18b5fc9b4
PED-SSCS-User11@justice.gov.uk,Password12,Follower,1711566568949901,fada1ad8-76fd-4081-b572-a5b18b5fc9b4
PED-SSCS-User12@justice.gov.uk,Password12,Follower,1711566568949901,fada1ad8-76fd-4081-b572-a5b18b5fc9b4
PED-SSCS-User13@justice.gov.uk,Password12,Follower,1711566568949901,fada1ad8-76fd-4081-b572-a5b18b5fc9b4
PED-SSCS-User14@justice.gov.uk,Password12,Follower,1711566568949901,fada1ad8-76fd-4081-b572-a5b18b5fc9b4
PED-SSCS-User15@justice.gov.uk,Password12,Follower,1711566568949901,fada1ad8-76fd-4081-b572-a5b18b5fc9b4
PED-SSCS-User16@justice.gov.uk,Password12,Follower,1711566568949901,fada1ad8-76fd-4081-b572-a5b18b5fc9b4
PED-SSCS-User17@justice.gov.uk,Password12,Presenter,1701684711990359,a44a192b-f8e7-468d-befc-69b2e40bb2e9
PED-SSCS-User18@justice.gov.uk,Password12,Follower,1701684711990359,a44a192b-f8e7-468d-befc-69b2e40bb2e9
PED-SSCS-User19@justice.gov.uk,Password12,Follower,1701684711990359,a44a192b-f8e7-468d-befc-69b2e40bb2e9
PED-SSCS-User20@justice.gov.uk,Password12,Follower,1701684711990359,a44a192b-f8e7-468d-befc-69b2e40bb2e9
PED-SSCS-User21@justice.gov.uk,Password12,Follower,1701684711990359,a44a192b-f8e7-468d-befc-69b2e40bb2e9
PED-SSCS-User22@justice.gov.uk,Password12,Follower,1701684711990359,a44a192b-f8e7-468d-befc-69b2e40bb2e9
PED-SSCS-User23@justice.gov.uk,Password12,Follower,1701684711990359,a44a192b-f8e7-468d-befc-69b2e40bb2e9
PED-SSCS-User24@justice.gov.uk,Password12,Follower,1701684711990359,a44a192b-f8e7-468d-befc-69b2e40bb2e9
PED-SSCS-User25@justice.gov.uk,Password12,Presenter,1701684704054809,a20d477e-4293-42af-85d8-2c5efb192e81
PED-SSCS-User26@justice.gov.uk,Password12,Follower,1701684704054809,a20d477e-4293-42af-85d8-2c5efb192e81
PED-SSCS-User27@justice.gov.uk,Password12,Follower,1701684704054809,a20d477e-4293-42af-85d8-2c5efb192e81
PED-SSCS-User28@justice.gov.uk,Password12,Follower,1701684704054809,a20d477e-4293-42af-85d8-2c5efb192e81
PED-SSCS-User29@justice.gov.uk,Password12,Follower,1701684704054809,a20d477e-4293-42af-85d8-2c5efb192e81
PED-SSCS-User30@justice.gov.uk,Password12,Follower,1701684704054809,a20d477e-4293-42af-85d8-2c5efb192e81
PED-SSCS-User31@justice.gov.uk,Password12,Follower,1701684704054809,a20d477e-4293-42af-85d8-2c5efb192e81
PED-SSCS-User32@justice.gov.uk,Password12,Follower,1701684704054809,a20d477e-4293-42af-85d8-2c5efb192e81
PED-SSCS-User33@justice.gov.uk,Password12,Presenter,1701684699022142,4b255c06-4304-447b-a5fc-52ba80190bd2
PED-SSCS-User34@justice.gov.uk,Password12,Follower,1701684699022142,4b255c06-4304-447b-a5fc-52ba80190bd2
PED-SSCS-User35@justice.gov.uk,Password12,Follower,1701684699022142,4b255c06-4304-447b-a5fc-52ba80190bd2
PED-SSCS-User36@justice.gov.uk,Password12,Follower,1701684699022142,4b255c06-4304-447b-a5fc-52ba80190bd2
PED-SSCS-User37@justice.gov.uk,Password12,Follower,1701684699022142,4b255c06-4304-447b-a5fc-52ba80190bd2
PED-SSCS-User38@justice.gov.uk,Password12,Follower,1701684699022142,4b255c06-4304-447b-a5fc-52ba80190bd2
PED-SSCS-User39@justice.gov.uk,Password12,Follower,1701684699022142,4b255c06-4304-447b-a5fc-52ba80190bd2
PED-SSCS-User40@justice.gov.uk,Password12,Follower,1701684699022142,4b255c06-4304-447b-a5fc-52ba80190bd2
