solicitor_username,password,Case_ID,admin_username
pcs-solicitor501@test.com,Pa$$w0rd,1781543453440739,PCS-CTSC-Admin401@hmcts.net
pcs-solicitor502@test.com,Pa$$w0rd,1781543488003742,PCS-CTSC-Admin402@hmcts.net
pcs-solicitor501@test.com,Pa$$w0rd,1781543642080834,PCS-CTSC-Admin401@hmcts.net
pcs-solicitor502@test.com,Pa$$w0rd,1781543676495023,PCS-CTSC-Admin402@hmcts.net
pcs-solicitor505@test.com,Pa$$w0rd,1781543779294067,PCS-CTSC-Admin405@hmcts.net
pcs-solicitor506@test.com,Pa$$w0rd,1781543813547249,PCS-CTSC-Admin406@hmcts.net
pcs-solicitor507@test.com,Pa$$w0rd,1781543848286052,PCS-CTSC-Admin407@hmcts.net
pcs-solicitor508@test.com,Pa$$w0rd,1781543882341987,PCS-CTSC-Admin408@hmcts.net
pcs-solicitor509@test.com,Pa$$w0rd,1781543917111207,PCS-CTSC-Admin409@hmcts.net
pcs-solicitor510@test.com,Pa$$w0rd,1781543951347246,PCS-CTSC-Admin410@hmcts.net
pcs-solicitor511@test.com,Pa$$w0rd,1781543985601493,PCS-CTSC-Admin411@hmcts.net
pcs-solicitor512@test.com,Pa$$w0rd,1781544019909373,PCS-CTSC-Admin412@hmcts.net
pcs-solicitor516@test.com,Pa$$w0rd,1781544158380022,PCS-CTSC-Admin416@hmcts.net
pcs-solicitor517@test.com,Pa$$w0rd,1781544193377546,PCS-CTSC-Admin417@hmcts.net
pcs-solicitor518@test.com,Pa$$w0rd,1781544227640000,PCS-CTSC-Admin418@hmcts.net
pcs-solicitor501@test.com,Pa$$w0rd,1781545023744755,PCS-CTSC-Admin401@hmcts.net
pcs-solicitor502@test.com,Pa$$w0rd,1781545057967454,PCS-CTSC-Admin402@hmcts.net
pcs-solicitor505@test.com,Pa$$w0rd,1781545159497681,PCS-CTSC-Admin405@hmcts.net
pcs-solicitor506@test.com,Pa$$w0rd,1781545193968515,PCS-CTSC-Admin406@hmcts.net
pcs-solicitor507@test.com,Pa$$w0rd,1781545228119290,PCS-CTSC-Admin407@hmcts.net
pcs-solicitor508@test.com,Pa$$w0rd,1781545263054790,PCS-CTSC-Admin408@hmcts.net
pcs-solicitor509@test.com,Pa$$w0rd,1781545297367960,PCS-CTSC-Admin409@hmcts.net
pcs-solicitor510@test.com,Pa$$w0rd,1781545331652112,PCS-CTSC-Admin410@hmcts.net
pcs-solicitor511@test.com,Pa$$w0rd,1781545366302633,PCS-CTSC-Admin411@hmcts.net
pcs-solicitor512@test.com,Pa$$w0rd,1781545400727381,PCS-CTSC-Admin412@hmcts.net
pcs-solicitor513@test.com,Pa$$w0rd,1781545435398927,PCS-CTSC-Admin413@hmcts.net
pcs-solicitor514@test.com,Pa$$w0rd,1781545469773870,PCS-CTSC-Admin414@hmcts.net
pcs-solicitor515@test.com,Pa$$w0rd,1781545504332823,PCS-CTSC-Admin415@hmcts.net
pcs-solicitor516@test.com,Pa$$w0rd,1781545539024494,PCS-CTSC-Admin416@hmcts.net
pcs-solicitor517@test.com,Pa$$w0rd,1781545573583124,PCS-CTSC-Admin417@hmcts.net
pcs-solicitor518@test.com,Pa$$w0rd,1781545607633739,PCS-CTSC-Admin418@hmcts.net
pcs-solicitor519@test.com,Pa$$w0rd,1781545641859753,PCS-CTSC-Admin419@hmcts.net
pcs-solicitor520@test.com,Pa$$w0rd,1781545676116657,PCS-CTSC-Admin401@hmcts.net
pcs-solicitor521@test.com,Pa$$w0rd,1781545710710309,PCS-CTSC-Admin402@hmcts.net
