orgID,barristerUser,barristerPassword,barristerFirm,barristerFirstName,barristerLastName
097EBNA,perf_barrister_1@gmail.com,Pass19word,perf_barrister_org_1,Firstname,Lastname
BK0UG6P,perf_barrister_2@gmail.com,Pass19word,perf_barrister_org_2,Firstname,Lastname
3OAOA3T,perf_barrister_3@gmail.com,Pass19word,perf_barrister_org_3,Firstname,Lastname
44W28IO,perf_barrister_4@gmail.com,Pass19word,perf_barrister_org_4,Firstname,Lastname
8B3V7ZM,perf_barrister_5@gmail.com,Pass19word,perf_barrister_org_5,Firstname,Lastname
R8I7HWC,perf_barrister_6@gmail.com,Pass19word,perf_barrister_org_6,Firstname,Lastname
NXN30VL,perf_barrister_7@gmail.com,Pass19word,perf_barrister_org_7,Firstname,Lastname
KH7PQF5,perf_barrister_8@gmail.com,Pass19word,perf_barrister_org_8,Firstname,Lastname
CETLCPF,perf_barrister_9@gmail.com,Pass19word,perf_barrister_org_9,Firstname,Lastname
BOIHHL1,perf_barrister_10@gmail.com,Pass19word,perf_barrister_org_10,Firstname,Lastname
BXOXAMF,perf_barrister_11@gmail.com,Pass19word,perf_barrister_org_11,Firstname,Lastname
P1DJGT9,perf_barrister_12@gmail.com,Pass19word,perf_barrister_org_12,Firstname,Lastname
SHEJO5T,perf_barrister_13@gmail.com,Pass19word,perf_barrister_org_13,Firstname,Lastname
H307HW7,perf_barrister_14@gmail.com,Pass19word,perf_barrister_org_14,Firstname,Lastname
UJLHJVY,perf_barrister_15@gmail.com,Pass19word,perf_barrister_org_15,Firstname,Lastname
URNPW8K,perf_barrister_16@gmail.com,Pass19word,perf_barrister_org_16,Firstname,Lastname
9PGHM8V,perf_barrister_17@gmail.com,Pass19word,perf_barrister_org_17,Firstname,Lastname
TWQIBH4,perf_barrister_18@gmail.com,Pass19word,perf_barrister_org_18,Firstname,Lastname
BE199RU,perf_barrister_19@gmail.com,Pass19word,perf_barrister_org_19,Firstname,Lastname
0OENKWW,perf_barrister_20@gmail.com,Pass19word,perf_barrister_org_20,Firstname,Lastname
