orgname,orgref,superuser,user,password
iacorg-iesp1,N7AL9FP,iacorg-iesp1_superuser@mailtest.co.uk,iacorg-cvr51_user525@mailtest.co.uk,Pass19word
iacorg-ievej,39SH4E0,iacorg-ievej_superuser@mailtest.co.uk,iacorg-f8hlz_user7@mailtest.co.uk,Pass19word
iacorg-imipt,3WI32WW,iacorg-imipt_superuser@mailtest.co.uk,iacorg-fon06_user77@mailtest.co.uk,Pass19word
iacorg-ipu7s,N3GVXT9,iacorg-ipu7s_superuser@mailtest.co.uk,iacorg-g044t_user367@mailtest.co.uk,Pass19word
iacorg-is1aj,E0SDZ9N,iacorg-is1aj_superuser@mailtest.co.uk,iacorg-g044t_user372@mailtest.co.uk,Pass19word
iacorg-iujsn,1PLN1KD,iacorg-iujsn_superuser@mailtest.co.uk,iacorg-g2xx8_user486@mailtest.co.uk,Pass19word
iacorg-j1l2r,TCA63LI,iacorg-j1l2r_superuser@mailtest.co.uk,iacorg-gcpo0_user596@mailtest.co.uk,Pass19word
iacorg-j2fps,2SM1XDU,iacorg-j2fps_superuser@mailtest.co.uk,iacorg-gcpo0_user601@mailtest.co.uk,Pass19word
iacorg-j7i59,63DML07,iacorg-j7i59_superuser@mailtest.co.uk,iacorg-gubcs_user234@mailtest.co.uk,Pass19word
iacorg-jc0ee,1JQ1T15,iacorg-jc0ee_superuser@mailtest.co.uk,iacorg-gubcs_user239@mailtest.co.uk,Pass19word
iacorg-jngj9,XP5M9B6,iacorg-jngj9_superuser@mailtest.co.uk,iacorg-hxqzf_user575@mailtest.co.uk,Pass19word
iacorg-jpdfh,3VWUPC0,iacorg-jpdfh_superuser@mailtest.co.uk,iacorg-hxqzf_user580@mailtest.co.uk,Pass19word
iacorg-k4ww9,E0SDZ9N,iacorg-k4ww9_superuser@mailtest.co.uk,iacorg-iesp1_user194@mailtest.co.uk,Pass19word
iacorg-k7re0,84DFHED,iacorg-k7re0_superuser@mailtest.co.uk,iacorg-ievej_user251@mailtest.co.uk,Pass19word
iacorg-krc1n,GMHOG96,iacorg-krc1n_superuser@mailtest.co.uk,iacorg-imipt_user337@mailtest.co.uk,Pass19word
iacorg-kuqyo,N7AL9FP,iacorg-kuqyo_superuser@mailtest.co.uk,iacorg-ipu7s_user311@mailtest.co.uk,Pass19word
iacorg-le473,64I46DI,iacorg-le473_superuser@mailtest.co.uk,iacorg-ipu7s_user316@mailtest.co.uk,Pass19word
iacorg-lf6kc,OGN08W1,iacorg-lf6kc_superuser@mailtest.co.uk,iacorg-is1aj_user261@mailtest.co.uk,Pass19word
iacorg-lgjyx,CDTEAF9,iacorg-lgjyx_superuser@mailtest.co.uk,iacorg-j1l2r_user603@mailtest.co.uk,Pass19word
iacorg-lr1bn,P4W0CND,iacorg-lr1bn_superuser@mailtest.co.uk,iacorg-j2fps_user214@mailtest.co.uk,Pass19word
iacorg-m54fr,8EZLDCC,iacorg-m54fr_superuser@mailtest.co.uk,iacorg-j7i59_user60@mailtest.co.uk,Pass19word
iacorg-m8dps,TCA63LI,iacorg-m8dps_superuser@mailtest.co.uk,iacorg-jc0ee_user85@mailtest.co.uk,Pass19word
iacorg-mo6c0,65N7PG1,iacorg-mo6c0_superuser@mailtest.co.uk,iacorg-jc0ee_user89@mailtest.co.uk,Pass19word
iacorg-mr6p4,QVF9IL2,iacorg-mr6p4_superuser@mailtest.co.uk,iacorg-jngj9_user202@mailtest.co.uk,Pass19word
iacorg-n099j,JU0U9WY,iacorg-n099j_superuser@mailtest.co.uk,iacorg-k4ww9_user555@mailtest.co.uk,Pass19word
iacorg-n115k,05MTJNK,iacorg-n115k_superuser@mailtest.co.uk,iacorg-krc1n_user499@mailtest.co.uk,Pass19word
iacorg-n1x0e,X8UWLI7,iacorg-n1x0e_superuser@mailtest.co.uk,iacorg-kuqyo_user558@mailtest.co.uk,Pass19word
iacorg-n9k5z,41JJDF4,iacorg-n9k5z_superuser@mailtest.co.uk,iacorg-le473_user549@mailtest.co.uk,Pass19word
iacorg-nj9j2,N0W7VKF,iacorg-nj9j2_superuser@mailtest.co.uk,iacorg-lf6kc_user169@mailtest.co.uk,Pass19word
iacorg-nsvt0,GMHOG96,iacorg-nsvt0_superuser@mailtest.co.uk,iacorg-lr1bn_user465@mailtest.co.uk,Pass19word
iacorg-o7hee,K62CJSV,iacorg-o7hee_superuser@mailtest.co.uk,iacorg-m54fr_user421@mailtest.co.uk,Pass19word
iacorg-ogavb,Z2C4JZH,iacorg-ogavb_superuser@mailtest.co.uk,iacorg-m8dps_user229@mailtest.co.uk,Pass19word
iacorg-ohymy,487YF70,iacorg-ohymy_superuser@mailtest.co.uk,iacorg-mo6c0_user324@mailtest.co.uk,Pass19word
iacorg-orjlk,CDTEAF9,iacorg-orjlk_superuser@mailtest.co.uk,iacorg-mo6c0_user329@mailtest.co.uk,Pass19word
iacorg-p8iob,B9OPCO5,iacorg-p8iob_superuser@mailtest.co.uk,iacorg-n099j_user112@mailtest.co.uk,Pass19word
iacorg-paiyq,8EZLDCC,iacorg-paiyq_superuser@mailtest.co.uk,iacorg-n115k_user392@mailtest.co.uk,Pass19word
iacorg-py42v,8WKRD62,iacorg-py42v_superuser@mailtest.co.uk,iacorg-n1x0e_user450@mailtest.co.uk,Pass19word
iacorg-q1lmx,65N7PG1,iacorg-q1lmx_superuser@mailtest.co.uk,iacorg-n9k5z_user11@mailtest.co.uk,Pass19word
iacorg-r1fxc,LSPAU9E,iacorg-r1fxc_superuser@mailtest.co.uk,iacorg-nsvt0_user27@mailtest.co.uk,Pass19word
iacorg-reisn,JU0U9WY,iacorg-reisn_superuser@mailtest.co.uk,iacorg-o7hee_user546@mailtest.co.uk,Pass19word
iacorg-rugbr,05MTJNK,iacorg-rugbr_superuser@mailtest.co.uk,iacorg-ogavb_user572@mailtest.co.uk,Pass19word
iacorg-sarx6,3VWUPC0,iacorg-sarx6_superuser@mailtest.co.uk,iacorg-orjlk_user587@mailtest.co.uk,Pass19word
iacorg-spmre,WWK1EW8,iacorg-spmre_superuser@mailtest.co.uk,iacorg-orjlk_user592@mailtest.co.uk,Pass19word
iacorg-svo5b,H45Z7II,iacorg-svo5b_superuser@mailtest.co.uk,iacorg-p8iob_user494@mailtest.co.uk,Pass19word
iacorg-sy4j1,OY5S6JG,iacorg-sy4j1_superuser@mailtest.co.uk,iacorg-paiyq_user166@mailtest.co.uk,Pass19word
iacorg-tf3v6,6SRMK2X,iacorg-tf3v6_superuser@mailtest.co.uk,iacorg-q1lmx_user481@mailtest.co.uk,Pass19word
iacorg-tk8ib,86HJH20,iacorg-tk8ib_superuser@mailtest.co.uk,iacorg-rugbr_user305@mailtest.co.uk,Pass19word
iacorg-tpfnx,UPNUZ62,iacorg-tpfnx_superuser@mailtest.co.uk,iacorg-sarx6_user49@mailtest.co.uk,Pass19word
iacorg-tpybr,CEJ97NV,iacorg-tpybr_superuser@mailtest.co.uk,iacorg-spmre_user145@mailtest.co.uk,Pass19word
iacorg-tvryt,HEQX275,iacorg-tvryt_superuser@mailtest.co.uk,iacorg-svo5b_user504@mailtest.co.uk,Pass19word
iacorg-txqmo,VVQ4VA3,iacorg-txqmo_superuser@mailtest.co.uk,iacorg-svo5b_user509@mailtest.co.uk,Pass19word
iacorg-uuext,6ICO3QJ,iacorg-uuext_superuser@mailtest.co.uk,iacorg-tf3v6_user426@mailtest.co.uk,Pass19word
iacorg-vao8m,N28ZLH0,iacorg-vao8m_superuser@mailtest.co.uk,iacorg-tpfnx_user275@mailtest.co.uk,Pass19word
iacorg-vntts,LSPAU9E,iacorg-vntts_superuser@mailtest.co.uk,iacorg-tpybr_user32@mailtest.co.uk,Pass19word
iacorg-vwcz6,864O2HI,iacorg-vwcz6_superuser@mailtest.co.uk,iacorg-txqmo_user408@mailtest.co.uk,Pass19word
iacorg-vxdpo,UUY5M6V,iacorg-vxdpo_superuser@mailtest.co.uk,iacorg-uuext_user634@mailtest.co.uk,Pass19word
iacorg-vzwew,D5YRDG0,iacorg-vzwew_superuser@mailtest.co.uk,iacorg-vao8m_user353@mailtest.co.uk,Pass19word
iacorg-w3die,UHOL10J,iacorg-w3die_superuser@mailtest.co.uk,iacorg-vntts_user42@mailtest.co.uk,Pass19word
iacorg-w9qhc,OHS3L84,iacorg-w9qhc_superuser@mailtest.co.uk,iacorg-vxdpo_user224@mailtest.co.uk,Pass19word
iacorg-wbkq1,OY5S6JG,iacorg-wbkq1_superuser@mailtest.co.uk,iacorg-w3die_user52@mailtest.co.uk,Pass19word
iacorg-wgmfk,8LZDLX1,iacorg-wgmfk_superuser@mailtest.co.uk,iacorg-w9qhc_user208@mailtest.co.uk,Pass19word
iacorg-womtb,86HJH20,iacorg-womtb_superuser@mailtest.co.uk,iacorg-w9qhc_user213@mailtest.co.uk,Pass19word
iacorg-wwr79,0HXTMFE,iacorg-wwr79_superuser@mailtest.co.uk,iacorg-wgmfk_user621@mailtest.co.uk,Pass19word
iacorg-wxvhf,EP8PH7X,iacorg-wxvhf_superuser@mailtest.co.uk,iacorg-womtb_user23@mailtest.co.uk,Pass19word
iacorg-xbknw,B9OPCO5,iacorg-xbknw_superuser@mailtest.co.uk,iacorg-wxvhf_user292@mailtest.co.uk,Pass19word
iacorg-xf9pe,H45Z7II,iacorg-xf9pe_superuser@mailtest.co.uk,iacorg-wxvhf_user297@mailtest.co.uk,Pass19word
iacorg-xucm6,L2PE1Z7,iacorg-xucm6_superuser@mailtest.co.uk,iacorg-xf9pe_user16@mailtest.co.uk,Pass19word
iacorg-xvvkv,8LZDLX1,iacorg-xvvkv_superuser@mailtest.co.uk,iacorg-xwrbz_user90@mailtest.co.uk,Pass19word
iacorg-xwrbz,UI1QRGY,iacorg-xwrbz_superuser@mailtest.co.uk,iacorg-xwrbz_user95@mailtest.co.uk,Pass19word
iacorg-y7j2q,QPGLT0L,iacorg-y7j2q_superuser@mailtest.co.uk,iacorg-y7j2q_user627@mailtest.co.uk,Pass19word
iacorg-yly7f,VDQ7FW9,iacorg-yly7f_superuser@mailtest.co.uk,iacorg-y7j2q_user632@mailtest.co.uk,Pass19word
iacorg-ytuj9,PYWSE1P,iacorg-ytuj9_superuser@mailtest.co.uk,iacorg-yly7f_user378@mailtest.co.uk,Pass19word
iacorg-ytvpl,6P663RS,iacorg-ytvpl_superuser@mailtest.co.uk,iacorg-ytuj9_user564@mailtest.co.uk,Pass19word
iacorg-z6hmm,86HJH20,iacorg-z6hmm_superuser@mailtest.co.uk,iacorg-ytvpl_user219@mailtest.co.uk,Pass19word
iacorg-z86ir,QPGLT0L,iacorg-z86ir_superuser@mailtest.co.uk,iacorg-z6hmm_user189@mailtest.co.uk,Pass19word
iacorg-zaq70,APGPS1H,iacorg-zaq70_superuser@mailtest.co.uk,iacorg-z86ir_user137@mailtest.co.uk,Pass19word
iacorg-zgexf,L2PE1Z7,iacorg-zgexf_superuser@mailtest.co.uk,iacorg-zaq70_user282@mailtest.co.uk,Pass19word
iacorg-zm927,0HXTMFE,iacorg-zm927_superuser@mailtest.co.uk,iacorg-zgexf_user478@mailtest.co.uk,Pass19word
